-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.013,  0.115
-183.800, 80.199, 0.035,  0.148
-183.800, 80.197, 0.034,  0.181
-183.800, 80.196, 0.040,  0.214
-183.800, 80.193, 0.104,  0.247
-183.799, 80.185, 0.230,  0.280
-183.798, 80.175, 0.332,  0.313
-183.797, 80.154, 0.638,  0.346
-183.795, 80.125, 0.876,  0.379
-183.793, 80.090, 1.065,  0.412
-183.791, 80.049, 1.210,  0.445
-183.788, 80.006, 1.315,  0.478
-183.785, 79.961, 1.339,  0.511
-183.783, 79.916, 1.346,  0.544
-183.780, 79.872, 1.348,  0.577
-183.777, 79.827, 1.346,  0.610
-183.774, 79.783, 1.340,  0.643
-183.771, 79.739, 1.332,  0.676
-183.768, 79.695, 1.322,  0.709
-183.765, 79.652, 1.312,  0.742
-183.762, 79.609, 1.303,  0.775
-183.759, 79.566, 1.295,  0.808
-183.756, 79.523, 1.288,  0.841
-183.752, 79.481, 1.284,  0.874
-183.749, 79.438, 1.281,  0.907
-183.746, 79.395, 1.280,  0.940
-183.742, 79.353, 1.281,  0.973
-183.739, 79.310, 1.284,  1.006
-183.736, 79.267, 1.288,  1.039
-183.732, 79.224, 1.293,  1.072
-183.729, 79.180, 1.299,  1.105
-183.725, 79.137, 1.306,  1.138
-183.721, 79.093, 1.313,  1.171
-183.717, 79.049, 1.320,  1.204
-183.714, 79.005, 1.327,  1.237
-183.710, 78.960, 1.333,  1.270
-183.706, 78.915, 1.340,  1.303
-183.702, 78.870, 1.346,  1.336
-183.698, 78.825, 1.351,  1.369
-183.694, 78.780, 1.356,  1.402
-183.689, 78.735, 1.361,  1.435
-183.685, 78.689, 1.365,  1.468
-183.681, 78.643, 1.369,  1.501
-183.676, 78.598, 1.373,  1.534
-183.672, 78.552, 1.377,  1.567
-183.668, 78.506, 1.381,  1.600
-183.663, 78.460, 1.385,  1.633
-183.658, 78.413, 1.388,  1.666
-183.654, 78.367, 1.392,  1.699
-183.649, 78.320, 1.396,  1.732
